underline: pid 86912, running 300s
[2026-08-28T09:49:04Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 249us  skipped 0/240  total 1071us  upload 0us  backgrounds 373us  glyphs 336us  decorations 313us
[2026-08-28T09:49:05Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 222us  skipped 0/240  total 777us  upload 0us  backgrounds 276us  glyphs 268us  decorations 231us
[2026-08-28T09:49:06Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 224us  skipped 0/240  total 763us  upload 0us  backgrounds 276us  glyphs 254us  decorations 231us
[2026-08-28T09:49:07Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 233us  skipped 0/240  total 734us  upload 0us  backgrounds 261us  glyphs 251us  decorations 218us
[2026-08-28T09:49:07Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 237us  skipped 0/240  total 692us  upload 0us  backgrounds 244us  glyphs 240us  decorations 204us
[2026-08-28T09:49:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 204us  skipped 0/240  total 552us  upload 0us  backgrounds 183us  glyphs 208us  decorations 154us
[2026-08-28T09:49:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 181us  skipped 0/240  total 503us  upload 0us  backgrounds 166us  glyphs 195us  decorations 141us
[2026-08-28T09:49:09Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 172us  skipped 0/240  total 450us  upload 0us  backgrounds 140us  glyphs 186us  decorations 120us
[2026-08-28T09:49:10Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 149us  skipped 0/240  total 422us  upload 0us  backgrounds 132us  glyphs 177us  decorations 111us
[2026-08-28T09:49:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 165us  skipped 0/240  total 395us  upload 0us  backgrounds 119us  glyphs 174us  decorations 100us
[2026-08-28T09:49:10Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 157us  skipped 0/240  total 413us  upload 0us  backgrounds 123us  glyphs 177us  decorations 113us
[2026-08-28T09:49:11Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 189us  skipped 0/240  total 423us  upload 0us  backgrounds 128us  glyphs 184us  decorations 109us
[2026-08-28T09:49:12Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 212us  skipped 0/240  total 422us  upload 0us  backgrounds 125us  glyphs 189us  decorations 105us
[2026-08-28T09:49:12Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 181us  skipped 0/240  total 437us  upload 0us  backgrounds 129us  glyphs 193us  decorations 109us
[2026-08-28T09:49:13Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 233us  skipped 0/240  total 423us  upload 0us  backgrounds 127us  glyphs 185us  decorations 108us
[2026-08-28T09:49:13Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 214us  skipped 0/240  total 423us  upload 0us  backgrounds 123us  glyphs 190us  decorations 103us
[2026-08-28T09:49:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 208us  skipped 0/240  total 487us  upload 0us  backgrounds 155us  glyphs 197us  decorations 130us
[2026-08-28T09:49:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 184us  skipped 0/240  total 456us  upload 0us  backgrounds 144us  glyphs 187us  decorations 122us
[2026-08-28T09:49:15Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 231us  skipped 0/240  total 481us  upload 0us  backgrounds 154us  glyphs 194us  decorations 133us
[2026-08-28T09:49:16Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 232us  skipped 0/240  total 474us  upload 0us  backgrounds 150us  glyphs 194us  decorations 126us
[2026-08-28T09:49:16Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 208us  skipped 0/240  total 467us  upload 0us  backgrounds 149us  glyphs 190us  decorations 126us
[2026-08-28T09:49:17Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 199us  skipped 0/240  total 693us  upload 0us  backgrounds 233us  glyphs 240us  decorations 194us
[2026-08-28T09:49:18Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 206us  skipped 0/240  total 777us  upload 0us  backgrounds 278us  glyphs 263us  decorations 231us
[2026-08-28T09:49:19Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 292us  skipped 0/240  total 1038us  upload 0us  backgrounds 375us  glyphs 318us  decorations 313us
[2026-08-28T09:49:20Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 312us  skipped 0/240  total 1087us  upload 0us  backgrounds 412us  glyphs 326us  decorations 343us
[2026-08-28T09:49:22Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 298us  skipped 0/240  total 1199us  upload 0us  backgrounds 456us  glyphs 358us  decorations 380us
[2026-08-28T09:49:23Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 258us  skipped 0/240  total 1215us  upload 0us  backgrounds 459us  glyphs 370us  decorations 381us
[2026-08-28T09:49:24Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 282us  skipped 0/240  total 1204us  upload 0us  backgrounds 459us  glyphs 358us  decorations 381us
[2026-08-28T09:49:26Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 311us  skipped 0/240  total 1330us  upload 0us  backgrounds 464us  glyphs 365us  decorations 382us
[2026-08-28T09:49:28Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 288us  skipped 0/240  total 1228us  upload 0us  backgrounds 462us  glyphs 369us  decorations 382us
[2026-08-28T09:49:29Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 299us  skipped 0/240  total 1332us  upload 0us  backgrounds 513us  glyphs 386us  decorations 427us
[2026-08-28T09:49:30Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 233us  skipped 0/240  total 933us  upload 0us  backgrounds 344us  glyphs 297us  decorations 285us
[2026-08-28T09:49:32Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 229us  skipped 0/240  total 1001us  upload 0us  backgrounds 348us  glyphs 308us  decorations 288us
[2026-08-28T09:49:33Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 222us  skipped 0/240  total 1018us  upload 0us  backgrounds 376us  glyphs 323us  decorations 313us
[2026-08-28T09:49:34Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 205us  skipped 0/240  total 1000us  upload 0us  backgrounds 373us  glyphs 314us  decorations 311us
[2026-08-28T09:49:35Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 240us  skipped 0/240  total 1011us  upload 0us  backgrounds 375us  glyphs 322us  decorations 312us
[2026-08-28T09:49:36Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 224us  skipped 0/240  total 949us  upload 0us  backgrounds 346us  glyphs 308us  decorations 288us
[2026-08-28T09:49:37Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 197us  skipped 0/240  total 1004us  upload 0us  backgrounds 374us  glyphs 314us  decorations 312us
[2026-08-28T09:49:38Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 198us  skipped 0/240  total 1006us  upload 0us  backgrounds 376us  glyphs 310us  decorations 312us
[2026-08-28T09:49:39Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 189us  skipped 0/240  total 1005us  upload 0us  backgrounds 376us  glyphs 311us  decorations 312us
[2026-08-28T09:49:40Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 200us  skipped 0/240  total 1001us  upload 0us  backgrounds 376us  glyphs 309us  decorations 312us
[2026-08-28T09:49:41Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 183us  skipped 0/240  total 1001us  upload 0us  backgrounds 375us  glyphs 310us  decorations 312us
[2026-08-28T09:49:42Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 190us  skipped 0/240  total 1003us  upload 0us  backgrounds 376us  glyphs 308us  decorations 312us
[2026-08-28T09:49:43Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 194us  skipped 0/240  total 999us  upload 0us  backgrounds 376us  glyphs 307us  decorations 313us
[2026-08-28T09:49:44Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 188us  skipped 0/240  total 1002us  upload 0us  backgrounds 376us  glyphs 308us  decorations 312us
[2026-08-28T09:49:45Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 204us  skipped 0/240  total 871us  upload 0us  backgrounds 316us  glyphs 298us  decorations 263us
[2026-08-28T09:49:46Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 308us  skipped 0/240  total 1506us  upload 0us  backgrounds 585us  glyphs 428us  decorations 473us
[2026-08-28T09:49:48Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 297us  skipped 0/240  total 1363us  upload 0us  backgrounds 520us  glyphs 406us  decorations 428us
[2026-08-28T09:49:50Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 306us  skipped 0/240  total 1542us  upload 0us  backgrounds 587us  glyphs 453us  decorations 488us
[2026-08-28T09:49:51Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 276us  skipped 0/240  total 1381us  upload 0us  backgrounds 516us  glyphs 431us  decorations 428us
[2026-08-28T09:49:54Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 341us  skipped 0/240  total 1550us  upload 0us  backgrounds 586us  glyphs 453us  decorations 446us
[2026-08-28T09:49:55Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 313us  skipped 0/240  total 1526us  upload 0us  backgrounds 584us  glyphs 447us  decorations 485us
[2026-08-28T09:49:57Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 295us  skipped 0/240  total 1364us  upload 0us  backgrounds 515us  glyphs 405us  decorations 428us
[2026-08-28T09:49:58Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 329us  skipped 0/240  total 1335us  upload 0us  backgrounds 516us  glyphs 387us  decorations 428us
[2026-08-28T09:50:00Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 325us  skipped 0/240  total 1338us  upload 0us  backgrounds 516us  glyphs 388us  decorations 428us
[2026-08-28T09:50:01Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 312us  skipped 0/240  total 1339us  upload 0us  backgrounds 516us  glyphs 390us  decorations 428us
[2026-08-28T09:50:03Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 317us  skipped 0/240  total 1402us  upload 0us  backgrounds 519us  glyphs 402us  decorations 429us
[2026-08-28T09:50:04Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 247us  skipped 0/240  total 1337us  upload 0us  backgrounds 514us  glyphs 391us  decorations 427us
[2026-08-28T09:50:05Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 213us  skipped 0/240  total 799us  upload 0us  backgrounds 279us  glyphs 261us  decorations 232us
[2026-08-28T09:50:06Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 207us  skipped 0/240  total 731us  upload 0us  backgrounds 259us  glyphs 250us  decorations 217us
[2026-08-28T09:50:06Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 172us  skipped 0/240  total 657us  upload 0us  backgrounds 232us  glyphs 228us  decorations 194us
[2026-08-28T09:50:07Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 188us  skipped 0/240  total 626us  upload 0us  backgrounds 218us  glyphs 222us  decorations 183us
[2026-08-28T09:50:08Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 202us  skipped 0/240  total 486us  upload 0us  backgrounds 158us  glyphs 192us  decorations 134us
[2026-08-28T09:50:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 194us  skipped 0/240  total 398us  upload 0us  backgrounds 119us  glyphs 179us  decorations 99us
[2026-08-28T09:50:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 194us  skipped 0/240  total 400us  upload 0us  backgrounds 119us  glyphs 177us  decorations 104us
[2026-08-28T09:50:09Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 156us  skipped 0/240  total 396us  upload 0us  backgrounds 118us  glyphs 173us  decorations 104us
[2026-08-28T09:50:10Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 160us  skipped 0/240  total 402us  upload 0us  backgrounds 119us  glyphs 178us  decorations 104us
[2026-08-28T09:50:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 162us  skipped 0/240  total 459us  upload 0us  backgrounds 140us  glyphs 194us  decorations 120us
[2026-08-28T09:50:11Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 146us  skipped 0/240  total 406us  upload 0us  backgrounds 119us  glyphs 173us  decorations 105us
[2026-08-28T09:50:11Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 163us  skipped 0/240  total 398us  upload 0us  backgrounds 119us  glyphs 175us  decorations 101us
[2026-08-28T09:50:12Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 196us  skipped 0/240  total 400us  upload 0us  backgrounds 119us  glyphs 178us  decorations 101us
[2026-08-28T09:50:12Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 184us  skipped 0/240  total 400us  upload 0us  backgrounds 119us  glyphs 176us  decorations 102us
[2026-08-28T09:50:13Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 213us  skipped 0/240  total 406us  upload 0us  backgrounds 120us  glyphs 181us  decorations 103us
[2026-08-28T09:50:14Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 165us  skipped 0/240  total 477us  upload 0us  backgrounds 153us  glyphs 190us  decorations 130us
[2026-08-28T09:50:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 196us  skipped 0/240  total 463us  upload 0us  backgrounds 145us  glyphs 191us  decorations 124us
[2026-08-28T09:50:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 205us  skipped 0/240  total 462us  upload 0us  backgrounds 145us  glyphs 194us  decorations 124us
[2026-08-28T09:50:15Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 183us  skipped 0/240  total 451us  upload 0us  backgrounds 137us  glyphs 192us  decorations 116us
[2026-08-28T09:50:16Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 231us  skipped 0/240  total 1191us  upload 0us  backgrounds 412us  glyphs 341us  decorations 343us
[2026-08-28T09:50:18Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 318us  skipped 0/240  total 1509us  upload 0us  backgrounds 587us  glyphs 430us  decorations 487us
[2026-08-28T09:50:20Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 292us  skipped 0/240  total 1365us  upload 0us  backgrounds 517us  glyphs 408us  decorations 429us
[2026-08-28T09:50:22Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 294us  skipped 0/240  total 1366us  upload 0us  backgrounds 516us  glyphs 411us  decorations 428us
[2026-08-28T09:50:23Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 314us  skipped 0/240  total 1371us  upload 0us  backgrounds 518us  glyphs 411us  decorations 428us
[2026-08-28T09:50:25Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 315us  skipped 0/240  total 1534us  upload 0us  backgrounds 587us  glyphs 449us  decorations 487us
[2026-08-28T09:50:26Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 308us  skipped 0/240  total 1539us  upload 0us  backgrounds 585us  glyphs 457us  decorations 486us
[2026-08-28T09:50:28Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 311us  skipped 0/240  total 1536us  upload 0us  backgrounds 585us  glyphs 448us  decorations 487us
[2026-08-28T09:50:30Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 327us  skipped 0/240  total 1368us  upload 0us  backgrounds 519us  glyphs 406us  decorations 428us
[2026-08-28T09:50:31Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 281us  skipped 0/240  total 1358us  upload 0us  backgrounds 520us  glyphs 398us  decorations 428us
[2026-08-28T09:50:33Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 317us  skipped 0/240  total 1446us  upload 0us  backgrounds 521us  glyphs 422us  decorations 429us
[2026-08-28T09:50:34Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 299us  skipped 0/240  total 1373us  upload 0us  backgrounds 518us  glyphs 403us  decorations 428us
[2026-08-28T09:50:36Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 286us  skipped 0/240  total 1339us  upload 0us  backgrounds 515us  glyphs 394us  decorations 428us
[2026-08-28T09:50:37Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 306us  skipped 0/240  total 1351us  upload 0us  backgrounds 517us  glyphs 395us  decorations 428us
[2026-08-28T09:50:39Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 326us  skipped 0/240  total 1349us  upload 0us  backgrounds 517us  glyphs 395us  decorations 428us
[2026-08-28T09:50:40Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 181us  skipped 0/240  total 852us  upload 0us  backgrounds 299us  glyphs 277us  decorations 247us
[2026-08-28T09:50:40Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 176us  skipped 0/240  total 764us  upload 0us  backgrounds 278us  glyphs 253us  decorations 231us
[2026-08-28T09:50:41Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 172us  skipped 0/240  total 762us  upload 0us  backgrounds 276us  glyphs 253us  decorations 230us
[2026-08-28T09:50:42Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 195us  skipped 0/240  total 919us  upload 0us  backgrounds 322us  glyphs 293us  decorations 268us
[2026-08-28T09:50:43Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 206us  skipped 0/240  total 951us  upload 0us  backgrounds 347us  glyphs 302us  decorations 288us
[2026-08-28T09:50:44Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 181us  skipped 0/240  total 967us  upload 0us  backgrounds 350us  glyphs 303us  decorations 288us
[2026-08-28T09:50:45Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 171us  skipped 0/240  total 990us  upload 0us  backgrounds 374us  glyphs 308us  decorations 312us
[2026-08-28T09:50:46Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 196us  skipped 0/240  total 939us  upload 0us  backgrounds 346us  glyphs 296us  decorations 287us
[2026-08-28T09:50:47Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 188us  skipped 0/240  total 985us  upload 0us  backgrounds 373us  glyphs 299us  decorations 310us
[2026-08-28T09:50:48Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 193us  skipped 0/240  total 876us  upload 0us  backgrounds 321us  glyphs 281us  decorations 266us
[2026-08-28T09:50:49Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 212us  skipped 0/240  total 936us  upload 0us  backgrounds 346us  glyphs 295us  decorations 288us
[2026-08-28T09:50:50Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 207us  skipped 0/240  total 928us  upload 0us  backgrounds 345us  glyphs 292us  decorations 287us
[2026-08-28T09:50:51Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 212us  skipped 0/240  total 930us  upload 0us  backgrounds 345us  glyphs 293us  decorations 287us
[2026-08-28T09:50:52Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 196us  skipped 0/240  total 928us  upload 0us  backgrounds 345us  glyphs 291us  decorations 287us
[2026-08-28T09:50:53Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 200us  skipped 0/240  total 939us  upload 0us  backgrounds 345us  glyphs 299us  decorations 287us
[2026-08-28T09:50:54Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 186us  skipped 0/240  total 931us  upload 0us  backgrounds 345us  glyphs 294us  decorations 288us
[2026-08-28T09:50:55Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 187us  skipped 0/240  total 677us  upload 0us  backgrounds 232us  glyphs 236us  decorations 193us
[2026-08-28T09:50:56Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 208us  skipped 0/240  total 1084us  upload 0us  backgrounds 412us  glyphs 330us  decorations 342us
[2026-08-28T09:50:57Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 274us  skipped 0/240  total 1342us  upload 0us  backgrounds 516us  glyphs 389us  decorations 427us
[2026-08-28T09:50:59Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 293us  skipped 0/240  total 1351us  upload 0us  backgrounds 517us  glyphs 397us  decorations 429us
[2026-08-28T09:51:00Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 268us  skipped 0/240  total 1507us  upload 0us  backgrounds 523us  glyphs 418us  decorations 429us
[2026-08-28T09:51:02Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 326us  skipped 0/240  total 1515us  upload 0us  backgrounds 587us  glyphs 436us  decorations 488us
[2026-08-28T09:51:03Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 325us  skipped 0/240  total 1514us  upload 0us  backgrounds 587us  glyphs 436us  decorations 487us
[2026-08-28T09:51:05Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 301us  skipped 0/240  total 1359us  upload 0us  backgrounds 516us  glyphs 408us  decorations 428us
[2026-08-28T09:51:06Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 288us  skipped 0/240  total 1365us  upload 0us  backgrounds 517us  glyphs 409us  decorations 428us
[2026-08-28T09:51:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 307us  skipped 0/240  total 1366us  upload 0us  backgrounds 517us  glyphs 402us  decorations 429us
[2026-08-28T09:51:10Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 339us  skipped 0/240  total 1565us  upload 0us  backgrounds 587us  glyphs 462us  decorations 486us
[2026-08-28T09:51:12Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 317us  skipped 0/240  total 1382us  upload 0us  backgrounds 520us  glyphs 402us  decorations 429us
[2026-08-28T09:51:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 300us  skipped 0/240  total 1384us  upload 0us  backgrounds 518us  glyphs 398us  decorations 429us
[2026-08-28T09:51:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 325us  skipped 0/240  total 1524us  upload 0us  backgrounds 523us  glyphs 427us  decorations 429us
[2026-08-28T09:51:17Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 331us  skipped 0/240  total 1441us  upload 0us  backgrounds 521us  glyphs 407us  decorations 429us
