glyphs/plain : pid 93440, running 300s
[2026-08-28T11:14:45Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 202us  skipped 240/240  total 344us  upload 0us  backgrounds 36us  glyphs 307us  decorations -
[2026-08-28T11:14:46Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 216us  skipped 240/240  total 341us  upload 0us  backgrounds 36us  glyphs 305us  decorations -
[2026-08-28T11:14:47Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 223us  skipped 240/240  total 353us  upload 0us  backgrounds 36us  glyphs 316us  decorations -
[2026-08-28T11:14:48Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 205us  skipped 240/240  total 345us  upload 0us  backgrounds 37us  glyphs 308us  decorations -
[2026-08-28T11:14:48Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 193us  skipped 240/240  total 330us  upload 0us  backgrounds 36us  glyphs 294us  decorations -
[2026-08-28T11:14:49Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 205us  skipped 240/240  total 326us  upload 0us  backgrounds 34us  glyphs 292us  decorations -
[2026-08-28T11:14:50Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 215us  skipped 240/240  total 322us  upload 0us  backgrounds 34us  glyphs 287us  decorations -
[2026-08-28T11:14:51Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 193us  skipped 240/240  total 311us  upload 0us  backgrounds 32us  glyphs 279us  decorations -
[2026-08-28T11:14:52Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 168us  skipped 240/240  total 331us  upload 0us  backgrounds 36us  glyphs 294us  decorations -
[2026-08-28T11:14:52Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 159us  skipped 240/240  total 331us  upload 0us  backgrounds 36us  glyphs 295us  decorations -
[2026-08-28T11:14:53Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 153us  skipped 240/240  total 276us  upload 0us  backgrounds 28us  glyphs 248us  decorations -
[2026-08-28T11:14:54Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 224us  skipped 240/240  total 450us  upload 0us  backgrounds 52us  glyphs 398us  decorations -
[2026-08-28T11:14:56Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 291us  skipped 240/240  total 504us  upload 0us  backgrounds 59us  glyphs 444us  decorations -
[2026-08-28T11:14:57Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 270us  skipped 240/240  total 518us  upload 0us  backgrounds 60us  glyphs 458us  decorations -
[2026-08-28T11:14:59Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 286us  skipped 240/240  total 467us  upload 0us  backgrounds 53us  glyphs 414us  decorations -
[2026-08-28T11:15:00Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 277us  skipped 240/240  total 500us  upload 0us  backgrounds 53us  glyphs 441us  decorations -
[2026-08-28T11:15:02Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 286us  skipped 240/240  total 472us  upload 0us  backgrounds 53us  glyphs 418us  decorations -
[2026-08-28T11:15:03Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 277us  skipped 240/240  total 513us  upload 0us  backgrounds 59us  glyphs 454us  decorations -
[2026-08-28T11:15:04Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 277us  skipped 240/240  total 522us  upload 0us  backgrounds 59us  glyphs 462us  decorations -
[2026-08-28T11:15:06Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 269us  skipped 240/240  total 472us  upload 0us  backgrounds 53us  glyphs 418us  decorations -
[2026-08-28T11:15:07Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 272us  skipped 240/240  total 459us  upload 0us  backgrounds 53us  glyphs 405us  decorations -
[2026-08-28T11:15:08Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 290us  skipped 240/240  total 473us  upload 0us  backgrounds 53us  glyphs 421us  decorations -
[2026-08-28T11:15:09Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 304us  skipped 240/240  total 446us  upload 0us  backgrounds 53us  glyphs 394us  decorations -
[2026-08-28T11:15:10Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 294us  skipped 240/240  total 457us  upload 0us  backgrounds 52us  glyphs 404us  decorations -
[2026-08-28T11:15:11Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 268us  skipped 240/240  total 408us  upload 0us  backgrounds 47us  glyphs 361us  decorations -
[2026-08-28T11:15:12Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 309us  skipped 240/240  total 464us  upload 0us  backgrounds 52us  glyphs 411us  decorations -
[2026-08-28T11:15:13Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 298us  skipped 240/240  total 450us  upload 0us  backgrounds 52us  glyphs 397us  decorations -
[2026-08-28T11:15:15Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 325us  skipped 240/240  total 464us  upload 0us  backgrounds 53us  glyphs 412us  decorations -
[2026-08-28T11:15:16Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 316us  skipped 240/240  total 455us  upload 0us  backgrounds 53us  glyphs 403us  decorations -
[2026-08-28T11:15:17Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 299us  skipped 240/240  total 462us  upload 0us  backgrounds 53us  glyphs 409us  decorations -
[2026-08-28T11:15:18Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 234us  skipped 240/240  total 331us  upload 0us  backgrounds 33us  glyphs 297us  decorations -
[2026-08-28T11:15:18Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 212us  skipped 240/240  total 312us  upload 0us  backgrounds 32us  glyphs 280us  decorations -
[2026-08-28T11:15:19Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 195us  skipped 240/240  total 346us  upload 0us  backgrounds 36us  glyphs 309us  decorations -
[2026-08-28T11:15:20Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 198us  skipped 240/240  total 355us  upload 0us  backgrounds 37us  glyphs 316us  decorations -
[2026-08-28T11:15:21Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 205us  skipped 240/240  total 352us  upload 0us  backgrounds 36us  glyphs 317us  decorations -
[2026-08-28T11:15:22Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 208us  skipped 240/240  total 343us  upload 0us  backgrounds 36us  glyphs 306us  decorations -
[2026-08-28T11:15:23Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 208us  skipped 240/240  total 351us  upload 0us  backgrounds 36us  glyphs 315us  decorations -
[2026-08-28T11:15:23Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 206us  skipped 240/240  total 344us  upload 0us  backgrounds 36us  glyphs 307us  decorations -
[2026-08-28T11:15:24Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 203us  skipped 240/240  total 346us  upload 0us  backgrounds 36us  glyphs 310us  decorations -
[2026-08-28T11:15:25Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 208us  skipped 240/240  total 340us  upload 0us  backgrounds 36us  glyphs 304us  decorations -
[2026-08-28T11:15:26Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 212us  skipped 240/240  total 335us  upload 0us  backgrounds 36us  glyphs 299us  decorations -
[2026-08-28T11:15:26Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 209us  skipped 240/240  total 339us  upload 0us  backgrounds 36us  glyphs 303us  decorations -
[2026-08-28T11:15:27Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 216us  skipped 240/240  total 333us  upload 0us  backgrounds 36us  glyphs 297us  decorations -
[2026-08-28T11:15:28Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 184us  skipped 240/240  total 298us  upload 0us  backgrounds 30us  glyphs 268us  decorations -
[2026-08-28T11:15:28Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 187us  skipped 240/240  total 299us  upload 0us  backgrounds 30us  glyphs 269us  decorations -
[2026-08-28T11:15:29Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 305us  skipped 240/240  total 461us  upload 0us  backgrounds 52us  glyphs 409us  decorations -
[2026-08-28T11:15:31Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 321us  skipped 240/240  total 463us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:15:32Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 333us  skipped 240/240  total 468us  upload 0us  backgrounds 53us  glyphs 415us  decorations -
[2026-08-28T11:15:34Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 336us  skipped 240/240  total 501us  upload 0us  backgrounds 53us  glyphs 447us  decorations -
[2026-08-28T11:15:35Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 336us  skipped 240/240  total 468us  upload 0us  backgrounds 52us  glyphs 415us  decorations -
[2026-08-28T11:15:37Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 355us  skipped 240/240  total 493us  upload 0us  backgrounds 53us  glyphs 441us  decorations -
[2026-08-28T11:15:38Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 308us  skipped 240/240  total 469us  upload 0us  backgrounds 52us  glyphs 416us  decorations -
[2026-08-28T11:15:39Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 291us  skipped 240/240  total 448us  upload 0us  backgrounds 53us  glyphs 395us  decorations -
[2026-08-28T11:15:40Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 314us  skipped 240/240  total 464us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:15:41Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 311us  skipped 240/240  total 447us  upload 0us  backgrounds 53us  glyphs 394us  decorations -
[2026-08-28T11:15:42Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 300us  skipped 240/240  total 474us  upload 0us  backgrounds 53us  glyphs 421us  decorations -
[2026-08-28T11:15:44Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 295us  skipped 240/240  total 498us  upload 0us  backgrounds 53us  glyphs 445us  decorations -
[2026-08-28T11:15:45Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 316us  skipped 240/240  total 462us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:15:46Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 306us  skipped 240/240  total 455us  upload 0us  backgrounds 52us  glyphs 403us  decorations -
[2026-08-28T11:15:47Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 291us  skipped 240/240  total 464us  upload 0us  backgrounds 53us  glyphs 411us  decorations -
[2026-08-28T11:15:48Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 211us  skipped 240/240  total 321us  upload 0us  backgrounds 33us  glyphs 289us  decorations -
[2026-08-28T11:15:49Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 209us  skipped 240/240  total 327us  upload 0us  backgrounds 34us  glyphs 292us  decorations -
[2026-08-28T11:15:49Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 234us  skipped 240/240  total 346us  upload 0us  backgrounds 36us  glyphs 310us  decorations -
[2026-08-28T11:15:50Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 231us  skipped 240/240  total 360us  upload 0us  backgrounds 39us  glyphs 321us  decorations -
[2026-08-28T11:15:51Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 241us  skipped 240/240  total 354us  upload 0us  backgrounds 37us  glyphs 317us  decorations -
[2026-08-28T11:15:52Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 255us  skipped 240/240  total 301us  upload 0us  backgrounds 31us  glyphs 270us  decorations -
[2026-08-28T11:15:53Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 244us  skipped 240/240  total 272us  upload 0us  backgrounds 27us  glyphs 245us  decorations -
[2026-08-28T11:15:53Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 213us  skipped 240/240  total 289us  upload 0us  backgrounds 29us  glyphs 260us  decorations -
[2026-08-28T11:15:54Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 186us  skipped 240/240  total 269us  upload 0us  backgrounds 26us  glyphs 243us  decorations -
[2026-08-28T11:15:55Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 186us  skipped 240/240  total 259us  upload 0us  backgrounds 25us  glyphs 234us  decorations -
[2026-08-28T11:15:55Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 197us  skipped 240/240  total 257us  upload 0us  backgrounds 25us  glyphs 232us  decorations -
[2026-08-28T11:15:56Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 194us  skipped 240/240  total 268us  upload 0us  backgrounds 25us  glyphs 242us  decorations -
[2026-08-28T11:15:56Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 186us  skipped 240/240  total 269us  upload 0us  backgrounds 26us  glyphs 242us  decorations -
[2026-08-28T11:15:57Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 212us  skipped 240/240  total 303us  upload 0us  backgrounds 31us  glyphs 272us  decorations -
[2026-08-28T11:15:58Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 176us  skipped 240/240  total 216us  upload 0us  backgrounds 19us  glyphs 198us  decorations -
[2026-08-28T11:15:58Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 200us  skipped 240/240  total 290us  upload 0us  backgrounds 28us  glyphs 259us  decorations -
[2026-08-28T11:16:00Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 250us  skipped 240/240  total 462us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:16:01Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 256us  skipped 240/240  total 459us  upload 0us  backgrounds 52us  glyphs 407us  decorations -
[2026-08-28T11:16:02Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 303us  skipped 240/240  total 466us  upload 0us  backgrounds 53us  glyphs 413us  decorations -
[2026-08-28T11:16:03Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 311us  skipped 240/240  total 467us  upload 0us  backgrounds 53us  glyphs 414us  decorations -
[2026-08-28T11:16:05Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 303us  skipped 240/240  total 480us  upload 0us  backgrounds 54us  glyphs 427us  decorations -
[2026-08-28T11:16:06Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 287us  skipped 240/240  total 511us  upload 0us  backgrounds 59us  glyphs 451us  decorations -
[2026-08-28T11:16:07Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 285us  skipped 240/240  total 506us  upload 0us  backgrounds 53us  glyphs 452us  decorations -
[2026-08-28T11:16:09Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 291us  skipped 240/240  total 509us  upload 0us  backgrounds 59us  glyphs 449us  decorations -
[2026-08-28T11:16:11Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 291us  skipped 240/240  total 502us  upload 0us  backgrounds 53us  glyphs 443us  decorations -
[2026-08-28T11:16:13Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 298us  skipped 240/240  total 469us  upload 0us  backgrounds 53us  glyphs 417us  decorations -
[2026-08-28T11:16:14Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 299us  skipped 240/240  total 468us  upload 0us  backgrounds 53us  glyphs 411us  decorations -
[2026-08-28T11:16:15Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 294us  skipped 240/240  total 467us  upload 0us  backgrounds 53us  glyphs 414us  decorations -
[2026-08-28T11:16:16Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 282us  skipped 240/240  total 519us  upload 0us  backgrounds 58us  glyphs 460us  decorations -
[2026-08-28T11:16:17Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 265us  skipped 240/240  total 456us  upload 0us  backgrounds 52us  glyphs 403us  decorations -
[2026-08-28T11:16:18Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 204us  skipped 240/240  total 323us  upload 0us  backgrounds 33us  glyphs 290us  decorations -
[2026-08-28T11:16:19Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 200us  skipped 240/240  total 342us  upload 0us  backgrounds 37us  glyphs 305us  decorations -
[2026-08-28T11:16:20Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 192us  skipped 240/240  total 348us  upload 0us  backgrounds 39us  glyphs 310us  decorations -
[2026-08-28T11:16:21Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 205us  skipped 240/240  total 363us  upload 0us  backgrounds 37us  glyphs 323us  decorations -
[2026-08-28T11:16:22Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 206us  skipped 240/240  total 350us  upload 0us  backgrounds 36us  glyphs 312us  decorations -
[2026-08-28T11:16:23Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 175us  skipped 240/240  total 346us  upload 0us  backgrounds 37us  glyphs 308us  decorations -
[2026-08-28T11:16:24Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 169us  skipped 240/240  total 338us  upload 0us  backgrounds 36us  glyphs 300us  decorations -
[2026-08-28T11:16:24Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 164us  skipped 240/240  total 339us  upload 0us  backgrounds 36us  glyphs 302us  decorations -
[2026-08-28T11:16:25Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 156us  skipped 240/240  total 333us  upload 0us  backgrounds 36us  glyphs 297us  decorations -
[2026-08-28T11:16:26Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 176us  skipped 240/240  total 340us  upload 0us  backgrounds 36us  glyphs 304us  decorations -
[2026-08-28T11:16:26Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 190us  skipped 240/240  total 334us  upload 0us  backgrounds 36us  glyphs 298us  decorations -
[2026-08-28T11:16:27Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 204us  skipped 240/240  total 339us  upload 0us  backgrounds 36us  glyphs 303us  decorations -
[2026-08-28T11:16:28Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 211us  skipped 240/240  total 298us  upload 0us  backgrounds 31us  glyphs 265us  decorations -
[2026-08-28T11:16:30Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 271us  skipped 240/240  total 460us  upload 0us  backgrounds 52us  glyphs 408us  decorations -
[2026-08-28T11:16:31Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 329us  skipped 240/240  total 493us  upload 0us  backgrounds 58us  glyphs 434us  decorations -
