backgrounds/percellbg : pid 29816, running 300s
[2026-08-28T10:35:41Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 116us  skipped 240/240  total 282us  upload 0us  backgrounds 114us  glyphs 166us  decorations -
[2026-08-28T10:35:41Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 118us  skipped 240/240  total 281us  upload 0us  backgrounds 114us  glyphs 166us  decorations -
[2026-08-28T10:35:41Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 124us  skipped 240/240  total 291us  upload 0us  backgrounds 118us  glyphs 171us  decorations -
[2026-08-28T10:35:42Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 122us  skipped 240/240  total 284us  upload 0us  backgrounds 115us  glyphs 168us  decorations -
[2026-08-28T10:35:42Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 126us  skipped 240/240  total 283us  upload 0us  backgrounds 115us  glyphs 168us  decorations -
[2026-08-28T10:35:43Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 161us  skipped 240/240  total 300us  upload 0us  backgrounds 124us  glyphs 177us  decorations -
[2026-08-28T10:35:43Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 157us  skipped 240/240  total 300us  upload 0us  backgrounds 124us  glyphs 177us  decorations -
[2026-08-28T10:35:44Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 111us  skipped 240/240  total 284us  upload 0us  backgrounds 115us  glyphs 167us  decorations -
[2026-08-28T10:35:44Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 133us  skipped 240/240  total 294us  upload 0us  backgrounds 118us  glyphs 171us  decorations -
[2026-08-28T10:35:45Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 163us  skipped 240/240  total 303us  upload 0us  backgrounds 124us  glyphs 178us  decorations -
[2026-08-28T10:35:46Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 199us  skipped 240/240  total 625us  upload 0us  backgrounds 317us  glyphs 280us  decorations -
[2026-08-28T10:35:47Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 261us  skipped 240/240  total 926us  upload 0us  backgrounds 516us  glyphs 406us  decorations -
[2026-08-28T10:35:48Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 189us  skipped 240/240  total 818us  upload 0us  backgrounds 459us  glyphs 352us  decorations -
[2026-08-28T10:35:49Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 209us  skipped 240/240  total 835us  upload 0us  backgrounds 460us  glyphs 367us  decorations -
[2026-08-28T10:35:50Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 226us  skipped 240/240  total 811us  upload 0us  backgrounds 457us  glyphs 350us  decorations -
[2026-08-28T10:35:51Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 226us  skipped 240/240  total 820us  upload 0us  backgrounds 460us  glyphs 353us  decorations -
[2026-08-28T10:35:52Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 195us  skipped 240/240  total 765us  upload 0us  backgrounds 417us  glyphs 335us  decorations -
[2026-08-28T10:35:52Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 172us  skipped 240/240  total 715us  upload 0us  backgrounds 380us  glyphs 322us  decorations -
[2026-08-28T10:35:54Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 262us  skipped 240/240  total 825us  upload 0us  backgrounds 461us  glyphs 358us  decorations -
[2026-08-28T10:35:55Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 207us  skipped 240/240  total 808us  upload 0us  backgrounds 456us  glyphs 346us  decorations -
[2026-08-28T10:35:56Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 214us  skipped 240/240  total 808us  upload 0us  backgrounds 457us  glyphs 348us  decorations -
[2026-08-28T10:35:57Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 256us  skipped 240/240  total 822us  upload 0us  backgrounds 460us  glyphs 357us  decorations -
[2026-08-28T10:35:58Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 260us  skipped 240/240  total 827us  upload 0us  backgrounds 461us  glyphs 358us  decorations -
[2026-08-28T10:35:59Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 296us  skipped 240/240  total 895us  upload 0us  backgrounds 484us  glyphs 378us  decorations -
[2026-08-28T10:36:00Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 253us  skipped 240/240  total 821us  upload 0us  backgrounds 460us  glyphs 355us  decorations -
[2026-08-28T10:36:01Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 259us  skipped 240/240  total 846us  upload 0us  backgrounds 465us  glyphs 365us  decorations -
[2026-08-28T10:36:02Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 253us  skipped 240/240  total 820us  upload 0us  backgrounds 460us  glyphs 357us  decorations -
[2026-08-28T10:36:03Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 218us  skipped 240/240  total 826us  upload 0us  backgrounds 459us  glyphs 364us  decorations -
[2026-08-28T10:36:04Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 200us  skipped 240/240  total 726us  upload 0us  backgrounds 348us  glyphs 323us  decorations -
[2026-08-28T10:36:04Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 164us  skipped 240/240  total 432us  upload 0us  backgrounds 209us  glyphs 220us  decorations -
[2026-08-28T10:36:05Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 169us  skipped 240/240  total 448us  upload 0us  backgrounds 220us  glyphs 225us  decorations -
[2026-08-28T10:36:06Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 186us  skipped 240/240  total 582us  upload 0us  backgrounds 295us  glyphs 284us  decorations -
[2026-08-28T10:36:06Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 188us  skipped 240/240  total 665us  upload 0us  backgrounds 347us  glyphs 310us  decorations -
[2026-08-28T10:36:07Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 174us  skipped 240/240  total 675us  upload 0us  backgrounds 350us  glyphs 310us  decorations -
[2026-08-28T10:36:08Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 169us  skipped 240/240  total 652us  upload 0us  backgrounds 345us  glyphs 303us  decorations -
[2026-08-28T10:36:09Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 169us  skipped 240/240  total 649us  upload 0us  backgrounds 344us  glyphs 301us  decorations -
[2026-08-28T10:36:09Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 183us  skipped 240/240  total 635us  upload 0us  backgrounds 323us  glyphs 296us  decorations -
[2026-08-28T10:36:10Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 174us  skipped 240/240  total 650us  upload 0us  backgrounds 346us  glyphs 302us  decorations -
[2026-08-28T10:36:11Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 140us  skipped 240/240  total 599us  upload 0us  backgrounds 303us  glyphs 283us  decorations -
[2026-08-28T10:36:12Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 166us  skipped 240/240  total 598us  upload 0us  backgrounds 301us  glyphs 289us  decorations -
[2026-08-28T10:36:12Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 183us  skipped 240/240  total 645us  upload 0us  backgrounds 344us  glyphs 299us  decorations -
[2026-08-28T10:36:13Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 206us  skipped 240/240  total 656us  upload 0us  backgrounds 346us  glyphs 304us  decorations -
[2026-08-28T10:36:14Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 187us  skipped 240/240  total 656us  upload 0us  backgrounds 346us  glyphs 303us  decorations -
[2026-08-28T10:36:15Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 205us  skipped 240/240  total 652us  upload 0us  backgrounds 345us  glyphs 302us  decorations -
[2026-08-28T10:36:16Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 200us  skipped 240/240  total 653us  upload 0us  backgrounds 346us  glyphs 302us  decorations -
[2026-08-28T10:36:17Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 162us  skipped 240/240  total 642us  upload 0us  backgrounds 344us  glyphs 298us  decorations -
[2026-08-28T10:36:17Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 155us  skipped 240/240  total 595us  upload 0us  backgrounds 301us  glyphs 282us  decorations -
[2026-08-28T10:36:18Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 157us  skipped 240/240  total 558us  upload 0us  backgrounds 280us  glyphs 272us  decorations -
[2026-08-28T10:36:19Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 146us  skipped 240/240  total 570us  upload 0us  backgrounds 297us  glyphs 269us  decorations -
[2026-08-28T10:36:20Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 171us  skipped 240/240  total 636us  upload 0us  backgrounds 344us  glyphs 287us  decorations -
[2026-08-28T10:36:20Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 163us  skipped 240/240  total 572us  upload 0us  backgrounds 298us  glyphs 269us  decorations -
[2026-08-28T10:36:21Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 150us  skipped 240/240  total 544us  upload 0us  backgrounds 278us  glyphs 263us  decorations -
[2026-08-28T10:36:22Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 161us  skipped 240/240  total 542us  upload 0us  backgrounds 279us  glyphs 259us  decorations -
[2026-08-28T10:36:23Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 148us  skipped 240/240  total 519us  upload 0us  backgrounds 263us  glyphs 247us  decorations -
[2026-08-28T10:36:23Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 201us  skipped 240/240  total 608us  upload 0us  backgrounds 321us  glyphs 280us  decorations -
[2026-08-28T10:36:24Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 145us  skipped 240/240  total 384us  upload 0us  backgrounds 177us  glyphs 202us  decorations -
[2026-08-28T10:36:25Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 143us  skipped 240/240  total 368us  upload 0us  backgrounds 169us  glyphs 197us  decorations -
[2026-08-28T10:36:26Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 216us  skipped 240/240  total 679us  upload 0us  backgrounds 346us  glyphs 297us  decorations -
[2026-08-28T10:36:27Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 293us  skipped 240/240  total 925us  upload 0us  backgrounds 517us  glyphs 404us  decorations -
[2026-08-28T10:36:28Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 264us  skipped 240/240  total 928us  upload 0us  backgrounds 516us  glyphs 405us  decorations -
[2026-08-28T10:36:30Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 264us  skipped 240/240  total 847us  upload 0us  backgrounds 463us  glyphs 376us  decorations -
[2026-08-28T10:36:31Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 291us  skipped 240/240  total 841us  upload 0us  backgrounds 465us  glyphs 367us  decorations -
[2026-08-28T10:36:32Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 249us  skipped 240/240  total 827us  upload 0us  backgrounds 461us  glyphs 356us  decorations -
[2026-08-28T10:36:33Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 312us  skipped 240/240  total 945us  upload 0us  backgrounds 515us  glyphs 413us  decorations -
[2026-08-28T10:36:35Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 321us  skipped 240/240  total 911us  upload 0us  backgrounds 517us  glyphs 389us  decorations -
[2026-08-28T10:36:36Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 321us  skipped 240/240  total 921us  upload 0us  backgrounds 517us  glyphs 395us  decorations -
[2026-08-28T10:36:38Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 291us  skipped 240/240  total 902us  upload 0us  backgrounds 509us  glyphs 380us  decorations -
[2026-08-28T10:36:39Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 234us  skipped 240/240  total 562us  upload 0us  backgrounds 276us  glyphs 280us  decorations -
[2026-08-28T10:36:40Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 223us  skipped 240/240  total 471us  upload 0us  backgrounds 231us  glyphs 233us  decorations -
[2026-08-28T10:36:41Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 206us  skipped 240/240  total 485us  upload 0us  backgrounds 244us  glyphs 238us  decorations -
[2026-08-28T10:36:41Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 169us  skipped 240/240  total 458us  upload 0us  backgrounds 231us  glyphs 226us  decorations -
[2026-08-28T10:36:42Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 199us  skipped 240/240  total 466us  upload 0us  backgrounds 232us  glyphs 230us  decorations -
[2026-08-28T10:36:43Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 217us  skipped 240/240  total 509us  upload 0us  backgrounds 259us  glyphs 246us  decorations -
[2026-08-28T10:36:44Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 227us  skipped 240/240  total 600us  upload 0us  backgrounds 318us  glyphs 283us  decorations -
[2026-08-28T10:36:45Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 213us  skipped 240/240  total 550us  upload 0us  backgrounds 278us  glyphs 266us  decorations -
[2026-08-28T10:36:45Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 230us  skipped 240/240  total 476us  upload 0us  backgrounds 233us  glyphs 237us  decorations -
[2026-08-28T10:36:46Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 214us  skipped 240/240  total 570us  upload 0us  backgrounds 296us  glyphs 271us  decorations -
[2026-08-28T10:36:47Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 195us  skipped 240/240  total 613us  upload 0us  backgrounds 323us  glyphs 282us  decorations -
[2026-08-28T10:36:48Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 193us  skipped 240/240  total 595us  upload 0us  backgrounds 318us  glyphs 274us  decorations -
[2026-08-28T10:36:48Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 196us  skipped 240/240  total 479us  upload 0us  backgrounds 244us  glyphs 236us  decorations -
[2026-08-28T10:36:49Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 156us  skipped 240/240  total 454us  upload 0us  backgrounds 230us  glyphs 223us  decorations -
[2026-08-28T10:36:49Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 148us  skipped 240/240  total 322us  upload 0us  backgrounds 138us  glyphs 182us  decorations -
[2026-08-28T10:36:50Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 142us  skipped 240/240  total 326us  upload 0us  backgrounds 139us  glyphs 183us  decorations -
[2026-08-28T10:36:51Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 178us  skipped 240/240  total 680us  upload 0us  backgrounds 376us  glyphs 301us  decorations -
[2026-08-28T10:36:52Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 220us  skipped 240/240  total 764us  upload 0us  backgrounds 418us  glyphs 332us  decorations -
[2026-08-28T10:36:53Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 220us  skipped 240/240  total 813us  upload 0us  backgrounds 457us  glyphs 348us  decorations -
[2026-08-28T10:36:54Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 237us  skipped 240/240  total 839us  upload 0us  backgrounds 461us  glyphs 370us  decorations -
[2026-08-28T10:36:55Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 182us  skipped 240/240  total 735us  upload 0us  backgrounds 412us  glyphs 320us  decorations -
[2026-08-28T10:36:55Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 209us  skipped 240/240  total 770us  upload 0us  backgrounds 418us  glyphs 343us  decorations -
[2026-08-28T10:36:57Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 228us  skipped 240/240  total 845us  upload 0us  backgrounds 460us  glyphs 381us  decorations -
[2026-08-28T10:36:58Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 187us  skipped 240/240  total 747us  upload 0us  backgrounds 415us  glyphs 327us  decorations -
[2026-08-28T10:36:59Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 281us  skipped 240/240  total 919us  upload 0us  backgrounds 513us  glyphs 397us  decorations -
[2026-08-28T10:37:00Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 250us  skipped 240/240  total 833us  upload 0us  backgrounds 460us  glyphs 369us  decorations -
[2026-08-28T10:37:01Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 222us  skipped 240/240  total 786us  upload 0us  backgrounds 418us  glyphs 355us  decorations -
[2026-08-28T10:37:02Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 218us  skipped 240/240  total 829us  upload 0us  backgrounds 459us  glyphs 365us  decorations -
[2026-08-28T10:37:03Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 242us  skipped 240/240  total 833us  upload 0us  backgrounds 460us  glyphs 366us  decorations -
[2026-08-28T10:37:04Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 175us  skipped 240/240  total 494us  upload 0us  backgrounds 259us  glyphs 236us  decorations -
[2026-08-28T10:37:05Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 183us  skipped 240/240  total 433us  upload 0us  backgrounds 208us  glyphs 219us  decorations -
[2026-08-28T10:37:05Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 174us  skipped 240/240  total 456us  upload 0us  backgrounds 222us  glyphs 229us  decorations -
[2026-08-28T10:37:06Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 189us  skipped 240/240  total 487us  upload 0us  backgrounds 244us  glyphs 240us  decorations -
[2026-08-28T10:37:06Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 170us  skipped 240/240  total 487us  upload 0us  backgrounds 245us  glyphs 237us  decorations -
[2026-08-28T10:37:07Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 152us  skipped 240/240  total 484us  upload 0us  backgrounds 244us  glyphs 238us  decorations -
[2026-08-28T10:37:08Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 173us  skipped 240/240  total 478us  upload 0us  backgrounds 234us  glyphs 237us  decorations -
[2026-08-28T10:37:08Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 209us  skipped 240/240  total 543us  upload 0us  backgrounds 277us  glyphs 265us  decorations -
[2026-08-28T10:37:09Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 208us  skipped 240/240  total 594us  upload 0us  backgrounds 299us  glyphs 288us  decorations -
[2026-08-28T10:37:10Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 216us  skipped 240/240  total 684us  upload 0us  backgrounds 371us  glyphs 309us  decorations -
[2026-08-28T10:37:11Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 200us  skipped 240/240  total 659us  upload 0us  backgrounds 348us  glyphs 301us  decorations -
[2026-08-28T10:37:12Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 172us  skipped 240/240  total 611us  upload 0us  backgrounds 321us  glyphs 280us  decorations -
[2026-08-28T10:37:13Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 185us  skipped 240/240  total 591us  upload 0us  backgrounds 304us  glyphs 273us  decorations -
[2026-08-28T10:37:14Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 206us  skipped 240/240  total 640us  upload 0us  backgrounds 345us  glyphs 290us  decorations -
