backgrounds/plain : pid 62072, running 300s
[2026-08-28T10:30:31Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 215us  skipped 240/240  total 333us  upload 0us  backgrounds 36us  glyphs 297us  decorations -
[2026-08-28T10:30:32Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 225us  skipped 240/240  total 639us  upload 0us  backgrounds 346us  glyphs 293us  decorations -
[2026-08-28T10:30:33Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 261us  skipped 240/240  total 332us  upload 0us  backgrounds 36us  glyphs 296us  decorations -
[2026-08-28T10:30:34Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 222us  skipped 240/240  total 556us  upload 0us  backgrounds 279us  glyphs 269us  decorations -
[2026-08-28T10:30:35Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 253us  skipped 240/240  total 400us  upload 0us  backgrounds 43us  glyphs 352us  decorations -
[2026-08-28T10:30:36Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 344us  skipped 240/240  total 930us  upload 0us  backgrounds 517us  glyphs 413us  decorations -
[2026-08-28T10:30:37Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 319us  skipped 240/240  total 465us  upload 0us  backgrounds 52us  glyphs 413us  decorations -
[2026-08-28T10:30:39Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 326us  skipped 240/240  total 924us  upload 0us  backgrounds 516us  glyphs 407us  decorations -
[2026-08-28T10:30:40Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 339us  skipped 240/240  total 471us  upload 0us  backgrounds 53us  glyphs 419us  decorations -
[2026-08-28T10:30:42Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 337us  skipped 240/240  total 931us  upload 0us  backgrounds 516us  glyphs 413us  decorations -
[2026-08-28T10:30:43Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 309us  skipped 240/240  total 489us  upload 0us  backgrounds 53us  glyphs 437us  decorations -
[2026-08-28T10:30:44Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 318us  skipped 240/240  total 918us  upload 0us  backgrounds 517us  glyphs 400us  decorations -
[2026-08-28T10:30:46Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 280us  skipped 240/240  total 508us  upload 0us  backgrounds 53us  glyphs 449us  decorations -
[2026-08-28T10:30:48Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 279us  skipped 240/240  total 918us  upload 0us  backgrounds 517us  glyphs 398us  decorations -
[2026-08-28T10:30:49Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 284us  skipped 240/240  total 512us  upload 0us  backgrounds 53us  glyphs 453us  decorations -
[2026-08-28T10:30:51Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 267us  skipped 240/240  total 926us  upload 0us  backgrounds 517us  glyphs 407us  decorations -
[2026-08-28T10:30:52Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 256us  skipped 240/240  total 417us  upload 0us  backgrounds 48us  glyphs 370us  decorations -
[2026-08-28T10:30:53Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 266us  skipped 240/240  total 902us  upload 0us  backgrounds 515us  glyphs 386us  decorations -
[2026-08-28T10:30:54Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 178us  skipped 240/240  total 322us  upload 0us  backgrounds 32us  glyphs 289us  decorations -
[2026-08-28T10:30:55Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 196us  skipped 240/240  total 614us  upload 0us  backgrounds 320us  glyphs 294us  decorations -
[2026-08-28T10:30:56Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 190us  skipped 240/240  total 340us  upload 0us  backgrounds 34us  glyphs 306us  decorations -
[2026-08-28T10:30:57Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 190us  skipped 240/240  total 654us  upload 0us  backgrounds 346us  glyphs 307us  decorations -
[2026-08-28T10:30:58Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 189us  skipped 240/240  total 351us  upload 0us  backgrounds 36us  glyphs 314us  decorations -
[2026-08-28T10:30:58Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 224us  skipped 240/240  total 643us  upload 0us  backgrounds 346us  glyphs 296us  decorations -
[2026-08-28T10:30:59Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 195us  skipped 240/240  total 318us  upload 0us  backgrounds 34us  glyphs 283us  decorations -
[2026-08-28T10:31:00Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 163us  skipped 240/240  total 503us  upload 0us  backgrounds 260us  glyphs 243us  decorations -
[2026-08-28T10:31:00Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 170us  skipped 240/240  total 258us  upload 0us  backgrounds 25us  glyphs 233us  decorations -
[2026-08-28T10:31:01Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 196us  skipped 240/240  total 479us  upload 0us  backgrounds 245us  glyphs 234us  decorations -
[2026-08-28T10:31:02Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 181us  skipped 240/240  total 253us  upload 0us  backgrounds 25us  glyphs 229us  decorations -
[2026-08-28T10:31:02Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 169us  skipped 240/240  total 378us  upload 0us  backgrounds 176us  glyphs 200us  decorations -
[2026-08-28T10:31:03Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 223us  skipped 240/240  total 264us  upload 0us  backgrounds 26us  glyphs 238us  decorations -
[2026-08-28T10:31:04Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 190us  skipped 240/240  total 436us  upload 0us  backgrounds 216us  glyphs 219us  decorations -
[2026-08-28T10:31:04Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 146us  skipped 240/240  total 233us  upload 0us  backgrounds 22us  glyphs 211us  decorations -
[2026-08-28T10:31:05Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 159us  skipped 240/240  total 427us  upload 0us  backgrounds 210us  glyphs 215us  decorations -
[2026-08-28T10:31:06Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 197us  skipped 240/240  total 368us  upload 0us  backgrounds 42us  glyphs 325us  decorations -
[2026-08-28T10:31:07Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 281us  skipped 240/240  total 899us  upload 0us  backgrounds 462us  glyphs 391us  decorations -
[2026-08-28T10:31:08Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 302us  skipped 240/240  total 458us  upload 0us  backgrounds 52us  glyphs 405us  decorations -
[2026-08-28T10:31:10Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 278us  skipped 240/240  total 915us  upload 0us  backgrounds 516us  glyphs 399us  decorations -
[2026-08-28T10:31:11Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 311us  skipped 240/240  total 456us  upload 0us  backgrounds 52us  glyphs 403us  decorations -
[2026-08-28T10:31:12Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 258us  skipped 240/240  total 839us  upload 0us  backgrounds 460us  glyphs 379us  decorations -
[2026-08-28T10:31:13Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 307us  skipped 240/240  total 451us  upload 0us  backgrounds 51us  glyphs 399us  decorations -
[2026-08-28T10:31:14Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 296us  skipped 240/240  total 894us  upload 0us  backgrounds 513us  glyphs 376us  decorations -
[2026-08-28T10:31:15Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 284us  skipped 240/240  total 441us  upload 0us  backgrounds 52us  glyphs 389us  decorations -
[2026-08-28T10:31:17Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 318us  skipped 240/240  total 929us  upload 0us  backgrounds 516us  glyphs 411us  decorations -
[2026-08-28T10:31:18Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 288us  skipped 240/240  total 442us  upload 0us  backgrounds 52us  glyphs 389us  decorations -
[2026-08-28T10:31:19Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 310us  skipped 240/240  total 906us  upload 0us  backgrounds 517us  glyphs 390us  decorations -
[2026-08-28T10:31:20Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 283us  skipped 240/240  total 420us  upload 0us  backgrounds 48us  glyphs 374us  decorations -
[2026-08-28T10:31:22Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 265us  skipped 240/240  total 815us  upload 0us  backgrounds 460us  glyphs 355us  decorations -
[2026-08-28T10:31:23Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 224us  skipped 240/240  total 391us  upload 0us  backgrounds 43us  glyphs 348us  decorations -
[2026-08-28T10:31:24Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 243us  skipped 240/240  total 619us  upload 0us  backgrounds 321us  glyphs 290us  decorations -
[2026-08-28T10:31:24Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 170us  skipped 240/240  total 273us  upload 0us  backgrounds 27us  glyphs 245us  decorations -
[2026-08-28T10:31:25Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 202us  skipped 240/240  total 519us  upload 0us  backgrounds 262us  glyphs 251us  decorations -
[2026-08-28T10:31:26Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 230us  skipped 240/240  total 288us  upload 0us  backgrounds 29us  glyphs 259us  decorations -
[2026-08-28T10:31:27Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 200us  skipped 240/240  total 525us  upload 0us  backgrounds 262us  glyphs 257us  decorations -
[2026-08-28T10:31:27Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 206us  skipped 240/240  total 294us  upload 0us  backgrounds 29us  glyphs 266us  decorations -
[2026-08-28T10:31:28Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 175us  skipped 240/240  total 521us  upload 0us  backgrounds 262us  glyphs 251us  decorations -
[2026-08-28T10:31:29Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 221us  skipped 240/240  total 298us  upload 0us  backgrounds 28us  glyphs 268us  decorations -
[2026-08-28T10:31:30Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 215us  skipped 240/240  total 524us  upload 0us  backgrounds 262us  glyphs 256us  decorations -
[2026-08-28T10:31:31Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 280us  skipped 240/240  total 437us  upload 0us  backgrounds 48us  glyphs 390us  decorations -
[2026-08-28T10:31:32Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 315us  skipped 240/240  total 922us  upload 0us  backgrounds 517us  glyphs 406us  decorations -
[2026-08-28T10:31:34Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 334us  skipped 240/240  total 499us  upload 0us  backgrounds 58us  glyphs 439us  decorations -
[2026-08-28T10:31:35Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 321us  skipped 240/240  total 925us  upload 0us  backgrounds 518us  glyphs 406us  decorations -
[2026-08-28T10:31:37Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 323us  skipped 240/240  total 450us  upload 0us  backgrounds 53us  glyphs 397us  decorations -
[2026-08-28T10:31:38Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 335us  skipped 240/240  total 912us  upload 0us  backgrounds 517us  glyphs 395us  decorations -
[2026-08-28T10:31:40Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 299us  skipped 240/240  total 445us  upload 0us  backgrounds 53us  glyphs 392us  decorations -
[2026-08-28T10:31:41Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 284us  skipped 240/240  total 898us  upload 0us  backgrounds 515us  glyphs 381us  decorations -
[2026-08-28T10:31:42Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 291us  skipped 240/240  total 449us  upload 0us  backgrounds 52us  glyphs 396us  decorations -
[2026-08-28T10:31:44Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 270us  skipped 240/240  total 827us  upload 0us  backgrounds 459us  glyphs 363us  decorations -
[2026-08-28T10:31:44Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 244us  skipped 240/240  total 290us  upload 0us  backgrounds 30us  glyphs 261us  decorations -
[2026-08-28T10:31:45Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 234us  skipped 240/240  total 542us  upload 0us  backgrounds 277us  glyphs 263us  decorations -
[2026-08-28T10:31:46Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 224us  skipped 240/240  total 298us  upload 0us  backgrounds 30us  glyphs 268us  decorations -
[2026-08-28T10:31:47Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 226us  skipped 240/240  total 544us  upload 0us  backgrounds 277us  glyphs 266us  decorations -
[2026-08-28T10:31:47Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 199us  skipped 240/240  total 273us  upload 0us  backgrounds 28us  glyphs 245us  decorations -
