plain: pid 18944, running 300s
[2026-08-28T09:44:47Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 303us  skipped 240/240  total 924us  upload 0us  backgrounds 516us  glyphs 402us  decorations -
[2026-08-28T09:44:48Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 305us  skipped 0/240  total 976us  upload 0us  backgrounds 516us  glyphs 402us  decorations 49us
[2026-08-28T09:44:50Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 305us  skipped 240/240  total 906us  upload 0us  backgrounds 515us  glyphs 391us  decorations -
[2026-08-28T09:44:51Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 318us  skipped 0/240  total 956us  upload 0us  backgrounds 515us  glyphs 392us  decorations 49us
[2026-08-28T09:44:53Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 266us  skipped 240/240  total 906us  upload 0us  backgrounds 514us  glyphs 391us  decorations -
[2026-08-28T09:44:54Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 235us  skipped 0/240  total 628us  upload 0us  backgrounds 295us  glyphs 294us  decorations 28us
[2026-08-28T09:44:55Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 219us  skipped 240/240  total 540us  upload 0us  backgrounds 277us  glyphs 261us  decorations -
[2026-08-28T09:44:56Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 224us  skipped 0/240  total 595us  upload 0us  backgrounds 295us  glyphs 271us  decorations 28us
[2026-08-28T09:44:57Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 191us  skipped 240/240  total 590us  upload 0us  backgrounds 315us  glyphs 282us  decorations -
[2026-08-28T09:44:58Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 220us  skipped 0/240  total 649us  upload 0us  backgrounds 318us  glyphs 293us  decorations 31us
[2026-08-28T09:44:58Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 191us  skipped 240/240  total 626us  upload 0us  backgrounds 320us  glyphs 291us  decorations -
[2026-08-28T09:44:59Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 197us  skipped 0/240  total 539us  upload 0us  backgrounds 260us  glyphs 249us  decorations 25us
[2026-08-28T09:45:00Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 212us  skipped 240/240  total 738us  upload 0us  backgrounds 375us  glyphs 315us  decorations -
[2026-08-28T09:45:02Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 306us  skipped 0/240  total 969us  upload 0us  backgrounds 515us  glyphs 405us  decorations 49us
[2026-08-28T09:45:03Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 316us  skipped 240/240  total 927us  upload 0us  backgrounds 515us  glyphs 412us  decorations -
[2026-08-28T09:45:05Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 333us  skipped 0/240  total 1102us  upload 0us  backgrounds 584us  glyphs 429us  decorations 50us
[2026-08-28T09:45:07Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 296us  skipped 240/240  total 904us  upload 0us  backgrounds 515us  glyphs 389us  decorations -
[2026-08-28T09:45:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 328us  skipped 0/240  total 955us  upload 0us  backgrounds 515us  glyphs 390us  decorations 49us
[2026-08-28T09:45:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 225us  skipped 240/240  total 677us  upload 0us  backgrounds 343us  glyphs 296us  decorations -
[2026-08-28T09:45:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 207us  skipped 0/240  total 639us  upload 0us  backgrounds 318us  glyphs 285us  decorations 30us
[2026-08-28T09:45:11Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 182us  skipped 240/240  total 596us  upload 0us  backgrounds 317us  glyphs 279us  decorations -
[2026-08-28T09:45:12Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 183us  skipped 0/240  total 598us  upload 0us  backgrounds 296us  glyphs 274us  decorations 28us
[2026-08-28T09:45:13Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 181us  skipped 240/240  total 509us  upload 0us  backgrounds 259us  glyphs 247us  decorations -
[2026-08-28T09:45:13Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 218us  skipped 0/240  total 525us  upload 0us  backgrounds 257us  glyphs 242us  decorations 25us
[2026-08-28T09:45:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 158us  skipped 240/240  total 443us  upload 0us  backgrounds 219us  glyphs 223us  decorations -
[2026-08-28T09:45:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 175us  skipped 0/240  total 536us  upload 0us  backgrounds 258us  glyphs 253us  decorations 25us
[2026-08-28T09:45:16Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 151us  skipped 240/240  total 537us  upload 0us  backgrounds 275us  glyphs 262us  decorations -
[2026-08-28T09:45:16Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 172us  skipped 0/240  total 538us  upload 0us  backgrounds 259us  glyphs 254us  decorations 25us
[2026-08-28T09:45:17Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 194us  skipped 240/240  total 560us  upload 0us  backgrounds 277us  glyphs 267us  decorations -
[2026-08-28T09:45:18Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 224us  skipped 0/240  total 663us  upload 0us  backgrounds 343us  glyphs 286us  decorations 33us
[2026-08-28T09:45:19Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 191us  skipped 240/240  total 563us  upload 0us  backgrounds 295us  glyphs 264us  decorations -
[2026-08-28T09:45:20Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 205us  skipped 0/240  total 524us  upload 0us  backgrounds 245us  glyphs 231us  decorations 22us
[2026-08-28T09:45:21Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 307us  skipped 240/240  total 914us  upload 0us  backgrounds 514us  glyphs 399us  decorations -
[2026-08-28T09:45:22Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 278us  skipped 0/240  total 886us  upload 0us  backgrounds 458us  glyphs 383us  decorations 44us
[2026-08-28T09:45:24Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 277us  skipped 240/240  total 911us  upload 0us  backgrounds 511us  glyphs 393us  decorations -
[2026-08-28T09:45:25Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 315us  skipped 0/240  total 970us  upload 0us  backgrounds 514us  glyphs 400us  decorations 49us
[2026-08-28T09:45:27Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 228us  skipped 240/240  total 908us  upload 0us  backgrounds 458us  glyphs 381us  decorations -
[2026-08-28T09:45:28Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 284us  skipped 0/240  total 871us  upload 0us  backgrounds 458us  glyphs 369us  decorations 44us
[2026-08-28T09:45:30Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 309us  skipped 240/240  total 919us  upload 0us  backgrounds 514us  glyphs 403us  decorations -
[2026-08-28T09:45:31Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 258us  skipped 0/240  total 885us  upload 0us  backgrounds 458us  glyphs 383us  decorations 44us
[2026-08-28T09:45:33Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 261us  skipped 240/240  total 816us  upload 0us  backgrounds 458us  glyphs 358us  decorations -
[2026-08-28T09:45:34Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 296us  skipped 0/240  total 860us  upload 0us  backgrounds 459us  glyphs 357us  decorations 44us
[2026-08-28T09:45:35Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 307us  skipped 240/240  total 904us  upload 0us  backgrounds 515us  glyphs 390us  decorations -
[2026-08-28T09:45:37Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 253us  skipped 0/240  total 856us  upload 0us  backgrounds 457us  glyphs 352us  decorations 44us
[2026-08-28T09:45:38Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 218us  skipped 240/240  total 743us  upload 0us  backgrounds 413us  glyphs 331us  decorations -
[2026-08-28T09:45:39Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 263us  skipped 0/240  total 799us  upload 0us  backgrounds 413us  glyphs 343us  decorations 40us
